id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BALLOON,0.062345315,0.062580355,0.06328885,0.06421704,0.06328595,0.06268346,0.0638749,0.061052367,0.06279873,0.06386,0.064445004,0.06263539,0.06399442,0.065729834,0.06467797,0.06351134
RESERVATION,0.03577588,0.036202025,0.037430912,0.03648462,0.03580732,0.035426207,0.037495993,0.036000326,0.036741655,0.037325755,0.03720981,0.03713491,0.036124837,0.03698396,0.037978716,0.038003035
FRENCH LAUNDRY,0.06461191,0.06558858,0.06752383,0.06705261,0.06397588,0.065955855,0.06620126,0.063486725,0.065410145,0.06556328,0.06784909,0.06712499,0.06706424,0.06592578,0.068665296,0.065752655
BENU,0.09837287,0.09835161,0.09799647,0.0985996,0.0952765,0.09584448,0.100900486,0.09306161,0.0955925,0.09823747,0.098982915,0.09838533,0.10052462,0.09958662,0.0990172,0.0983967
DANIEL,0.056566298,0.056952238,0.0570231,0.0555237,0.0554056,0.055455584,0.05697231,0.05367853,0.05595964,0.0552511,0.055925593,0.055322185,0.05778835,0.057013318,0.057132103,0.056297008
CYRUS,0.09490749,0.095356785,0.09728169,0.09849032,0.09257452,0.094217524,0.10026014,0.09129153,0.094761714,0.09683178,0.09680246,0.097828254,0.09781495,0.09854328,0.098810405,0.09772399
BAZAAR,0.08623497,0.087218724,0.08773202,0.08907597,0.08361746,0.08663683,0.090832375,0.08367285,0.08463737,0.088669345,0.089243814,0.08884111,0.08899736,0.089579865,0.086802624,0.087388426
DINING EXPERIENCE,0.03323302,0.034009043,0.034693174,0.03401958,0.033343136,0.034491546,0.03454765,0.033250026,0.03317671,0.0334743,0.034331486,0.033532035,0.035178293,0.034000948,0.03442355,0.034375988
WINE PAIRING,0.031250708,0.031510405,0.031621434,0.030903371,0.03154031,0.030935803,0.0317022,0.03085715,0.031115098,0.030439049,0.031136714,0.031101035,0.03065265,0.03109874,0.03155426,0.030918907
SPOILER ALERT,0.01664393,0.016724389,0.01736243,0.01683801,0.016524356,0.01686766,0.016455282,0.016815463,0.016929923,0.01683072,0.01694819,0.0167339,0.016720805,0.017532479,0.016600028,0.01710316
EXPECTATIONS,0.08320181,0.082636714,0.08363428,0.0877465,0.08202101,0.08068889,0.08581138,0.0812634,0.08259862,0.08330772,0.083248764,0.08596801,0.08499113,0.085668296,0.08647951,0.0836395
PRESENTATION,0.043075606,0.041916937,0.04252614,0.042725384,0.042230867,0.041762523,0.042561542,0.041229464,0.041782632,0.042033277,0.042094573,0.042625222,0.042570762,0.042794,0.043761987,0.04191848
VALUE PROPOSITION,0.106436685,0.10817438,0.108246356,0.10797154,0.10583396,0.10491942,0.10818593,0.102954894,0.107130624,0.1055592,0.10739865,0.107847184,0.10774681,0.11037758,0.11046283,0.10815604
PLATING TECHNIQUES,0.084935606,0.086466976,0.08805569,0.08816826,0.08489917,0.084559165,0.08992636,0.08152482,0.0863388,0.08615893,0.08825593,0.08832674,0.08672425,0.088267595,0.088757955,0.08844363
TRADITIONAL LUXURY INGREDIENTS,0.09185072,0.09280115,0.09072456,0.09461577,0.08945475,0.09022969,0.09543644,0.08750477,0.091451846,0.09248479,0.09322362,0.093781725,0.095172115,0.09287104,0.09541583,0.09350823
COST,0.044697415,0.04595732,0.045234673,0.045916125,0.04358553,0.04489785,0.044472553,0.04372513,0.044314258,0.044857867,0.04499142,0.044938043,0.04448697,0.044978924,0.045858376,0.045358032
